366	678	844
257	24	238
285	0	787
346	366	629
230	617	50
578	918	518
973	696	951
395	432	6
113	606	66
171	32	73
667	339	846
803	524	636
139	512	658
731	523	158
893	370	409
786	695	874
262	827	129
141	664	469
107	494	773
494	721	636
262	855	537
982	633	632
919	867	107
949	868	248
259	150	399
887	642	858
237	911	38
404	755	109
613	147	435
47	804	691
225	680	82
641	635	966
975	385	297
166	678	684
546	743	997
168	115	603
457	391	118
876	658	458
31	779	877
383	579	39
322	700	52
82	860	977
431	744	851
270	813	386
758	14	195
391	818	946
198	782	738
532	837	698
552	642	270
684	288	988
981	488	461
417	210	177
271	132	436
384	68	313
705	466	16
402	850	585
568	337	512
455	990	0
167	717	92
9	933	507
80	510	255
637	884	154
942	344	315
240	736	822
20	394	823
704	648	589
642	783	493
361	535	269
592	86	48
176	522	948
291	593	968
293	225	294
857	406	82
