366	678	844	0
257	24	238	0
285	0	787	0
346	366	629	0
230	617	50	0
578	918	518	0
973	696	951	0
395	432	6	1
113	606	66	0
171	32	73	0
667	339	846	0
803	524	636	0
139	512	658	0
731	523	158	1
893	370	409	1
786	695	874	0
262	827	129	0
141	664	469	0
107	494	773	0
494	721	636	0
262	855	537	0
982	633	632	1
919	867	107	1
949	868	248	1
259	150	399	0
887	642	858	0
237	911	38	0
404	755	109	0
613	147	435	1
47	804	691	0
225	680	82	0
641	635	966	0
975	385	297	1
166	678	684	0
546	743	997	0
168	115	603	0
457	391	118	1
876	658	458	1
31	779	877	0
383	579	39	1
322	700	52	0
82	860	977	0
431	744	851	0
270	813	386	0
758	14	195	1
391	818	946	0
198	782	738	0
532	837	698	0
552	642	270	1
684	288	988	0
981	488	461	1
417	210	177	1
271	132	436	0
384	68	313	0
705	466	16	1
402	850	585	0
568	337	512	0
455	990	0	0
167	717	92	0
9	933	507	0
80	510	255	0
637	884	154	1
942	344	315	1
240	736	822	0
20	394	823	0
704	648	589	0
642	783	493	0
361	535	269	0
592	86	48	1
176	522	948	0
291	593	968	0
293	225	294	0
857	406	82	1
